"commentsCount","text","likesCount","reactionAngryCount","reactionCareCount","reactionHahaCount","reactionLikeCount","reactionLoveCount","reactionSadCount","reactionWowCount","sharesCount"
"1","Monarque – Montreal, Canada

Một quán ăn được Michelin Guide gợi ý, phù hợp cho một chuyến đi vội vã, không kịp book quá nhiều nhà hàng. Monarque mang phong cách Pháp cổ điển, không phô trương nhưng rất chỉn chu — kiểu vào là biết mình sẽ có một bữa ăn an toàn, chất lượng.

Không gian đậm chất Paris: trần cao, ánh đèn vàng ấm, gỗ tối màu, sang vừa đủ và khá dễ chịu.

Món mình ăn:

- Pate gan & bánh mì: Pate mịn, béo vừa, vị gan rõ, ăn cùng bánh mì giòn rất hợp. Mở đầu nhẹ nhàng, đúng chất Pháp.
- Đùi vịt: Thịt mềm, tách xương dễ, da làm tốt, vị đậm vừa phải. Một món cổ điển, chắc tay.
 - Beef tartare: Thịt bò tươi, cắt đẹp. Món này mình đặc biệt thích vì kiểu flavour explosion. Dù đa tầng vị, nhưng độ ngọt của thịt vẫn không bị át bởi gia vị. Ăn cùng khoai tây lát mỏng rất ổn.
- Tuỷ bò: Riêng món này thì mình không đánh giá cao. Vẫn còn mùi hơi tanh, cảm giác khử mùi chưa tới nên ăn không được “đã” như kỳ vọng.

Tổng thể bữa ăn không phải kiểu sáng tạo gây wow, mà là làm đúng – làm chuẩn – làm an toàn. Một lựa chọn hợp lý khi lịch trình gấp nhưng vẫn muốn ăn một bữa Pháp chỉnh chu.

Tổng quan đánh giá:
Không gian: 8,5/10
Món ăn: 8/10
Service: 9/10

Một địa chỉ đáng cân nhắc tại Montreal, đặc biệt với những ai yêu ẩm thực Pháp cổ điển và muốn một trải nghiệm tốt, vibe dễ chịu, và an toàn.","22",,,,"19","3",,,"0"
"0","","7",,,,"6","1",,,"0"
"4","[Review nhà hàng omakase dessert ở Tokyo]

Nếu bạn thích các món tráng miệng ngọt ngào…

Nếu bạn thích omakase, cảm giác được phục vụ những thứ mà ko biết sẽ là cái gì 😆

Nếu bạn lại thích cả rượu 🤭

…. thì Haruka Murooka chính là nơi dành cho bạn. 

Cô chủ quán xinh đẹp chỉ phục vụ đúng 6 khách cho 1 menu toàn các thể loại đồ ngọt do cô chế biến ngay trước mặt khách, đảm bảo độ tươi mới. Menu thay đổi theo từng mùa trái cây, lại double sự tươi mới. Có thêm option wine pairing ạ. 

Có menu dài và menu ngắn. Mình tham nên chọn menu dài, kết quả là đoạn cuối phải ăn cố 🫠 mặc dù đã nhịn ăn từ sáng nhưng lượng đồ ăn khá nhiều. 
cũng ngại ko bỏ mứa vì thấy chef làm kỳ công quá, chef vẫn đang đứng chình ình trước mặt. 🫣

Nên mn đi thì chọn menu ngắn là đủ rồi nha. Quán chỉ phục vụ set omakase theo menu đã lên sẵn, ko có gọi lẻ được.

#diningreview
#tokyo
#dessert
#harukamurooka","31",,,,"29","2",,,"3"
"6","Review Cafe Dior Tokyo 
Cách đây nhiều năm mình có thử Cafe Dior by Pierre Herme - cộng tác giữa nhà mốt Pháp và 1 nhãn hiệu đồ ngọt cũng rất nổi tiếng của Pháp. Tráng miệng ngon cực kỳ khiến m nhớ mãi.

Sau này thì collab với Pierre Herme chấm dứt, Dior chuyển sang hợp tác với Anna Sophie-Pic, 1 chef nữ kỳ cựu người Pháp với bst chắc chục cái sao Michelin. Tất nhiên bà ấy chỉ cho mượn cái tên và có thể tư vấn menu. 

Mình cũng ráng mò tới xem làm ăn thế nào. Nhìn menu toàn món lạnh là chán rồi, tủ bánh trông ko hấp dẫn (mình còn chẳng thèm chụp cái ảnh nào). Order 1 cái ăn thử thì quả nhiên còn ko bằng những quán bánh tây mình hay ăn ở VN.

Tóm lại là không cần tốn tiền cho chỗ này ạ.

#diningreview

#tokyo

#dior

#christiandior

#cafedior","36",,"1",,"31","4",,,"5"
"7","Review nhà hàng, bar của Gucci ở Nhật Bản 
Cùng với làn sóng các luxury house mở nhà hàng, cafe để bào thêm tiền của khách, Gucci cũng mở 1 nhà hàng ở Tokyo và 1 quán bar ở Osaka. 

Nhà hàng Gucci Osteria ở khu Ginza sang chảnh ở Tokyo, mặc dù được 1 sao Michelin nhưng đồ ăn rất bình thường. Nhà hàng nằm trong 1 toà nhà chật hẹp nên không có được cảm giác sang trọng cần có. Mặc dù cũng trang trí theo concept Gucci đấy nhưng việc nhân viên (mặc đồ còn đẹp hơn khách 🥺) cứ đứng nhìn lom lom 😳 khiến việc chụp ảnh check in không thoải mái lắm. 

Gucci còn mở 1 quán bar ở Osaka - cái thứ 2 trên toàn thế giới (cái đầu tiên ở Florence Ý). Quán bar tên Gucci Giardino, thiết kế rất đẹp và sexy, cảm giác choáng ngợp 🥹😍. Cocktail ngon, từng món đồ uống còn dc kết hợp đồ nhắm để tôn vị giác lên. Bartender đẹp trai, mang từng món ra còn quỳ dưới chân khách để giải thích món, ánh mắt đắm đuối đa tình khiến khách chưa uống đã say 🤣

Ai có dịp ghé Osaka nên thử nha. 

#diningreview

#osaka

#tokyo

#gucci","47",,,"2","41","3",,"1","4"
"3","Review nhà hàng Prada ở Thượng Hải 

谜尚PRADA荣宅

Thực ra mình đến nhà hàng này cũng không mong đợi quá nhiều sau trải nghiệm nhà hàng của Dior với Gucci không ngon chút nào ở Tokyo. 

Mà thực tế thì đồ ăn cũng không đến nỗi nha. Nó không đậm đà như 1 nhà hàng món Ý thực thụ, nhưng tổng quan các yếu tố thì là 1 lựa chọn đáng thử. 

Nhà hàng nằm trong 1 biệt thự trăm năm tuổi ở trung tâm Thượng Hải được thiết kế lại theo thẩm mỹ của Prada với sự tư vấn của đạo diễn lừng danh Vương Gia Vệ. 

Mn muốn đặt thì vào app Wechat tìm 谜尚PRADA荣宅 có tiếng Anh. 

#diningreview
#prada
#shanghai
#mishangrongzhai","50",,,,"46","4",,,"2"
"3","📍 Uogashi Nihon-Ichi Standing Sushi Bar
Địa chỉ: Nishishinjuku, Shinjuku-ku, Tokyo – gần Shibuya Crossing.

Mình không gọi omakase. Nhưng bữa sushi đứng này lại được đối đãi như omakase thật sự.

Ghé quán vào khoảng gần 9h tối. Mô hình tachigui sushi (ăn đứng tại quầy), rất ít chỗ, sushi làm xong là đưa ra ngay.

Dù là chuỗi có vài chục cửa hàng trên khắp Nhật, trải nghiệm tại quầy hôm đó vẫn rất cá nhân: nhịp bếp đều, không vội.

Những chi tiết đúng nghề:

 • Trên quầy set sẵn: gừng – wasabi – dấm – trà matcha tự pha

 • Súp miso nóng: vị đậm vừa, không gắt, uống là ấm bụng ngay.

Cá: cá béo ngọt nhưng không ngấy; cá trắng chắc thịt, sạch vị; unagi và trứng cá lên vị gọn.

Shari giữ nhiệt tốt, giấm vừa tay, không lấn vị cá – điểm cộng lớn với một quán nhịp nhanh.

Khi quầy đứng thành omakase

Bếp chính là người Việt. Chỉ nói: “Anh cho em ăn món ngon nhất.”

Menu không còn quan trọng; bếp tự chọn cá theo nhịp ăn, có món ngoài menu, có món thêm.

Không gọi tên, nhưng cách phục vụ và sắp nhịp đúng tinh thần omakase: tin bếp – ăn đúng khoảnh khắc.

Bất ngờ: voucher giảm 30% được áp dụng thẳng cho chính bữa ăn đó, không báo trước.

Giá & kết

 • Bill cho 2 người: 1.7 triệu – hợp lý so với vị trí trung tâm và chất lượng cá.

Sushi ngon không nằm ở tên quán hay số chi nhánh.

Nó nằm ở khoảnh khắc bạn ăn miếng đầu tiên và muốn ăn tiếp miếng thứ hai.

#TachiguiSushi

#StandingSushiTokyo

#DiningReview","46",,,,"40","5",,"1","5"
"6","01 -wan- Tantan Ramen
Nếu nói về mỳ ramen mình thích nhất Hà Nội, lựa chọn đầu tiên nảy lên trong đầu luôn là 01-wan-Tantan Ramen. 

Ngay từ lần đầu đi ăn khi còn quán ở Đào Tấn đã rất ấn tượng bởi cái không khí khác các quán ramen hay thấy, thay vì tông màu decor vàng ấm truyền thống thì lại mang sắc thái hiện đại hơn với màu đen chủ đạo và bậc nhạc jazz rất chill. 

Mỳ thì khỏi nói, nước dùng đậm đà, béo ngậy và rất đặc trưng chưa thấy ở quán nào khác. Không chỉ mỳ ramen xuất sắc mà các món ăn kèm như gà chiên, hoành thánh, thịt băm, curry hay đậu sốt… đều rất ngon. 

Vậy nên khi biết 01-wan kết hợp với Hiệp hội ẩm thực Chaîne des Rôtisseurs Bailliage du Vietnam (gọi tắt La Chaine) để tổ chức sự kiện ẩm thực “Ramen - The Art” với số lượng khách mời giới hạn, mình đã đặt ngay không phải đắn đo.

Thú thực thì ban đầu mình cũng khá tò mò, vì ramen dù ngon đến mấy cũng là một món ăn mang tính chất đường phố, ăn nhanh và khó tưởng tượng cách nó đặt vào một hệ sinh thái dạng fine dining, với bữa tối kéo dài khoảng 3 giờ đồng hồ tính từ món khai vị.

Nhưng thực sự kết quả lại mang lại bất ngờ, bởi cách chef khách mời Ryo Ozawa thiết kế bữa ăn quá thú vị và hợp lý. Bữa tối được sắp xếp theo thứ tự  món nhẹ - khai vị - món chính - ramen - tráng miệng, và đặc biệt là mỗi món đều có các loại đồ uống đi kèm mang đậm phong cách Nhật Bản.

Hoa hậu của buổi tiệc là wagyu, khi loại thịt bò này được xuất hiện nhiều lần với các hình thái khác nhau. Ngay từ phần khai vị, wagyu đã được xử lý theo ba trạng thái: sống - tái - chín, lần lượt qua tartare, tataki và taco cup. Mỗi món chỉ là một miếng nhỏ, nhưng đủ để cảm nhận rõ sự khác biệt về kết cấu, độ ngọt. 

Đi kèm là caviar Vanta Black và nước dùng dạng thạch - vừa mang tinh thần fine dining, vừa đóng vai trò cầu nối giúp vị béo của wagyu không bị nặng nề.

Wagyu cũng xuất hiện trong món chính ramen, khi thịt lợn xay được bằng wagyu băm, bổ sung wagyu shabu shabu và một lớp foam parsley để tạo cảm giác fine dining. 

Thú thực rằng món này nếu mình ăn lần đầu thì sẽ rất thích - như nhiều thực khách khác hôm đó. Nhưng do là khách quen của quán và không quá xa lạ với vị nước dùng đậm đà, béo ngậy nên với mình món chính không quá nổi bật.

Thứ ghi điểm hơn là Xá xíu Nhật sử dụng chính sốt xá xíu hòa cùng nước kho bào ngư kiểu Nhật làm nền, ăn cùng trứng ngâm tương và khoai tây nghiền rất mềm, ngon và đậm vị. 

Phần wine pairing cũng cực kỳ xuất sắc, với lựa chọn có chủ đích cho từng món: Từ ăn nhẹ lúc đón khách với bia Sapporo giải khát, tới khi sự kiện bắt đầu với ba chai sake được lựa chọn theo một logic rất rõ ràng: từ ngọt nhẹ kích thích vị giác, sang Izumibashi Black Dragonfly Junmai Kimoto uống nóng để tôn vị thịt, rồi kết thúc bằng một chai Sanuki Cloudy Nigori như sinh ra để đi cùng mì Tantan.

Theo đại diện nhà hàng, lựa chọn Nigori để đi kèm mỳ bởi đây là dòng Sake đục, creamy, nhiều umami, acidity cao - phù hợp tuyệt đối với mì Tantan: Acidity cắt béo nước mỳ, sự creamy của rượu hòa vào độ creamy và cay của nước dùng… 

Dessert sử dụng vỏ bánh monaca truyền thống Nhật, đậu đỏ, đậu trắng, kem vani, caviar và dầu truffle cũng được chọn kết hợp cùng whisky Nhật ủ sherry cask: đủ ngọt cho kem, đủ “gỗ” cho umami của nấm và nối ngọt-mặn của kem với caviar.

Bên cạnh sự chu toàn trong thiết kế menu, trải nghiệm cũng rất thú vị với việc gặp gỡ những người bạn mới chung sở thích ăn ngon và mở rộng quan hệ trong bữa tối. 

Đây là lần thứ 2 mình dự một sự kiện ẩm thực của Hiệp hội La Chaine và rất ấn tượng với sự chỉn chu: từ thực đơn được in đẹp mắt, phần hình ảnh được chăm chút với thợ chụp ảnh riêng cho tới màn review, đánh giá tổng thể bữa ăn sau khi món tráng miệng kết thúc. 

Và màn trao tặng bằng khen của Hiệp hội cho các thành viên làm nên bữa ăn, không chỉ chef, đại diện nhà hàng mà cả các nhân viên phục vụ - những người thầm lặng đứng sau thành công của một sự kiện. 

Không cố biến ramen thành một thứ xa lạ với chính nó, “Ramen - The Art” chọn cách đặt món ăn quen thuộc này vào một không gian chỉn chu hơn, có thêm chiều sâu về nguyên liệu, pairing và trải nghiệm. Khi rời bàn ăn, cảm giác còn lại không phải là sự choáng ngợp, mà là sự thuyết phục rằng ramen hoàn toàn có thể bước vào một bữa tiệc dài mà vẫn giữ được linh hồn rất riêng của mình.

#Diningreview #Hanoi #01wantantanramen","117",,"1",,"96","18",,"2","12"
"6","Bocao basque izakaza - Nhà hàng TBN view sông landmark 81.
Nhà hàng mới mở ngay rìa sông SG có cái view phía sau ngắm ra sông sg + landmark 81 cực chill. 

Tới nơi hơi thấy bất ngờ khi cửa vào là bếp k có ghế, nhung đi sâu ra sau thì hiểu là trái tim nhà hàng nằm ở đằng sau kế sông view landmark 81.

Review nhanh đồ ăn mọi món đều ngon, mình gọi

Tuna

Nấm

Bánh foca với bơ 

Ngêu

Sò địp

Bạt tục

Tất cả điều ngon. 

Giá có hơi cấn giá lon coca 75k? 

Tổng biu 1.4 củ một mình em ăn hết đống này 🙂","17",,,,"15","2",,,"2"
"2","Ẩm thực Mê Hi Cô tại California, Texas, Arizona (Mỹ)
Món ăn Mê Hi Cô chính gốc phản ánh giao thoa văn hoá giữa Tây Ba Nha và thổ dân châu Mỹ.  Đặc điểm rất phong phú, đẹp mắt nhưng rất nhiều năng lượng. Tại Mê Hi Cô khẩu phần ăn lượng rất vừa phải, hợp thể trạng người Việt. Nhưng  tại Mỹ, khẩu phần này tăng lượng lên gấp 3, để phù hợp văn hoá tiêu dùng của ngưởi Mỹ. Món phổ biến: Enchilada, nachos, burito, …","10",,,,"10",,,,"0"
"16","Hanoi - menu Hanoi của Kappou giá hợp lý, tầm 2,8 triệu/ pax, rất ngon. Mình ấn tượng nhất đậu phụ làm thủ công từ hạt macca ở đây. Mềm mịn, béo, rất ngon. Trứng hấp gan ngỗng tan chảy trong miệng. Món bò nướng chấm muối kiến thơm, hơi tê tê khá thú vị. Tráng miệng rất ngon. Không thể bỏ qua. Tiếp khách hay hẹn hò đề phù hợp, view hồ lãng mạn
#omakase
#Hanoi
#diningreview","79",,"1",,"70","7",,"1","4"
"4","[Food tour HN] cận Tết
Lại là em đây 😟 thật sự càn quét kinh khủng mỗi buổi tối. E xin phép viết ngắn gọn thôi. 
----
1. Lẩu Phiêu, Bà Triệu
Không gian ấm cúng, giản dị. View nếu ngồi cửa sổ đẹp nhìn ngay ra ngã 3. 
Salad nộm hoa chuối cực kì ngấm, ăn chua ngọt vừa vì và tươi. 
Nước lẩu riêu ngon, dùng quả dọc nấu chua đặc trưng. Em thích điểm này vì dùng me hay sấu thì sẽ khiến nước dùng màu sẫm lại. Đồ nhúng thì ổn không quá đặc biệt nhg HN se lạnh hôm đó ăn cực đã. 3 người 900k. 
--
2. Pizza 4P Vincom Phạm Ngọc Thạch, IPH Xuân Thủy. 
Em đi 2 bữa nên thử đc 5 món. 2 món salad rau tươi sốt ổn, nổi vị nhg điểm trừ là là xà lách to tướng + dụng cụ trộn nên vừa ăn vừa cắt hơi phiền 😂 Salad cá hồi bơ, phô mai ricotta với bưởi, thì là tạm ổn nhưng ricotta hơi lạc quẻ không hiểu món này lắm. Mì ý cua ngậy, khẩu phần đầy đặn rõ mùi cua nên e thấy ổn. Cá hồi tartare với bơ thì cá hồi ko tươi nhg em thích cách trình bày, sự kết hợp của các loại rau, herb có vị hơi tê, thơm nhẹ.
Pizza em không ấn tượng nhiều vì phô mai + honey xưa nay chưa phải gu em. Service ổn, các bạn nhiệt tình, nhanh nhẹn. 
Không gian em thấy ổn nha trời lạnh ngồi quầy cũng OK. 2 bill tổng 1tr5-1tr6 gì đó. 
--
3. Ghisa KBBQ, Mễ Trì trong khu the Manor. 
Em thích tất cả các banchan trong này trừ bánh gạo (nguội, cứng) và salad hoa quả sữa chua (nhạt, em ghét salad hoa quả) còn lại kimchi, salad bạch tuộc, đồ ngâm đều ngon, tươi. Em ấn tượng cả món canh kim chi nóng hổi trong đó 1 đống thịt bò mềm tan nữa. 
Thịt ba chỉ với rau củ thì tạm ổn nhưng cái ngon nhất là dẻ sườn bò nó mềm tan trong miệng luôn. 
Tổng bill 900k - 2 người nhg hqua nhà e ăn cố, suất này phải đủ cho 3. Nhân viên nướng thịt cho mình tất chỉ ngồi ăn th. 
#diningreview #hanoi","44",,,,"38","6",,,"9"
"2","Sushi Riku [すし陸] 
📍 Địa chỉ: 1F Ando Building, 4-9-30 Minamiaoyama, Minato-ku, Tokyo
🍣 Omakase Course – ¥15,000

Không gian & cảm giác ban đầu

Sushi Riku là một nhà hàng omakase rất nhỏ, chỉ khoảng 9 chỗ ngồi, không gian tối giản đúng kiểu Nhật. Do không đặt kịp buổi tối nên mình chọn suất trưa, và thực tế đây lại là một lựa chọn khá hợp lý.

Ở Tokyo, đa phần các quán omakase đều cần đặt trước nhiều ngày, nhất là buổi tối. Mình đến sớm hơn giờ mở cửa và phải đứng chờ bên ngoài. Đúng 12:00 trưa, nhà hàng mở cửa rất đúng giờ.

Trải nghiệm tại quầy

Quầy có 2 đầu bếp:
 • 1 bếp chính
 • 1 bếp phụ

Cả hai đều giao tiếp tốt bằng tiếng Anh, thân thiện, cười nhiều và rất chịu tương tác với khách điều không phải quầy sushi nào ở Tokyo cũng có.

Điểm mình thích nhất là:
👉 Mỗi món cá đều được giới thiệu rất kỹ.
Đầu bếp sử dụng hình ảnh con cá để giải thích:
 • Phần nào của cá đang ăn
 • Cá được đánh bắt ở đâu
 • Cách xử lý, ủ cá
 • Và vì sao lại cắt theo kiểu đó

Cảm giác không phải chỉ “ăn omakase”, mà là được hiểu mình đang ăn gì.

Đồ ăn
 • Tổng cộng 12 món
 • Trà xanh Nhật được rót liên tục, miễn phí

Điều làm mình bất ngờ nhất là:
👉 Không nghĩ là mình có thể ăn được nhiều sushi đến vậy.

Cơm được nêm vừa phải, cá không quá béo, từng miếng đi rất gọn nên:
 • Ăn xong no vừa đủ
 • Không bị ngấy

Ấn tượng nhất là các loại cá ngừ:
Nhiều phần khác nhau, mỗi miếng có cấu trúc và hương vị riêng, cảm nhận rõ sự khác biệt giữa từng phần thịt – điều mà nếu ăn nhanh hoặc ở quán kém chất lượng thì rất khó nhận ra.

Tổng kết

✔ Không gian nhỏ, riêng tư
✔ Đầu bếp thân thiện, giao tiếp tốt
✔ Giải thích kỹ từng món, có hình ảnh minh họa
✔ Ăn đủ no, không ngấy
✔ Chất lượng cá rất tốt so với giá

💰 ¥15,000 - 2,7 triệu VNĐ / người cho một bữa omakase như vậy tại Tokyo là rất hợp lý.

Nếu có dịp đến Tokyo, bạn nên đặt chỗ trước, đặc biệt nếu muốn ăn buổi tối.

#DiningReview
#OmakaseTokyo
#SushiRiku
#TokyoFood
#OmakaseExperience","48",,"1",,"45","2",,,"3"
"27","1 quán Omakase mới mở ở Phan Kế Bính - Sushi Nanatsu ~

Không gian khá là đơn giản ấm cúng, do quán mới mở được 1 tháng các bạn nhân viên vẫn chưa thành thạo nhưng được cái vui vẻ nhiệt tình nên thui bỏ qua ạ 🫶🏻
Còn về đồ ăn thì có vài món seasonal đc chef biến tấu khá lạ miệng, nigiri thì vẫn là những loại cá trap, cá bơn, cá nục vây vàng, cá ngừ,.vv.. như mấy quán khác nhưng đồ khá là tươi ngon ạ

Giá : 1tr4-1tr9-2tr4++/pax

Set mình ăn là set 2tr4 có 20 course khá là no so với mặt bằng chung thì mình thấy hợp lý quá lun ạ 🥰 must try 🫶🏻

#reviewdining
#hanoi","101",,"1",,"92","8",,,"11"
"8","GYUKATSU YOSAKURA 146 Phan Kế Bính
Trẻ con nhà mình mê gyukatsu của motomura kinh khủng, đi Nhật ăn bao nhiêu chỗ nhưng hỏi muốn quay lại chỗ nào đều bảo gyukatsu motomura.

Hôm trước mấy mẹ con mới thử nhà hàng này và ngạc nhiên vì không nghĩ ở HN có chỗ ăn gyukatsu khá thế. Nhà hàng bé nhưng sạch sẽ chỉn chu cực kỳ. Bò wagyu ngon, cơm unagi và cơm ikura đều ngon, có salad, đồ chua, gừng hồng và súp ăn kèm. Cơm trắng, salad, súp được refill thoải mái. Các em nhân viên rất tận tình, lễ phép. 

Bò wagyu khoảng 7-800k, bò thường khoảng 4-500k, à có kem rất ngon 40k/viên.

Bạn nào đi ăn với con chắc mấy bé sẽ mê chỗ này.

#dining #diningriview #gyukatsu","111",,,,"104","7",,,"26"
"8","Bangkok - Sritrat
Lần đi Thái vừa rồi Ngọc được bạn dẫn đi ăn ở nhà hàng này. Đồ ăn ngon không gian cũng đẹp. Các bạn lưu lại để khi nào sang Thái đặt ăn nha. Nên đặt trước qua Insta của nhà hàng.

#diningreview #bangkokfood","49",,,,"46","3",,,"6"
"13","Tiệc tại gia.
Dạo này lười nên mình cũng ít khi vào bếp nấu nướng. Bữa tiệc này bên mình dùng dịch vụ catering của Silver plate.
Các bạn lo hết từ lên menu, chuẩn bị đồ đạc, bát đũa, đầu bếp đến nhân viên phục vụ, nên chủ tiệc chỉ việc ngồi uống rượu, không phải chạy đi chạy lại gì cả. Cuối tiệc cũng không phải rửa bát, nhàn thật sự.
Đồ ăn ngon, hợp khẩu vị mọi người, ăn khá thoải mái.

Cuối năm bận rộn, tiệc tùng nhiều, mấy lúc thế này càng thấy thuê cho nhàn đầu là quyết định đúng.
Tiệc vẫn chỉnh chu mà người tổ chức không bị mệt.
#diningreview #catering","136",,,"1","120","15",,,"2"
"31","London - từ xưa tới giờ ẩm thực Anh luôn bị chê. Nhưng lần này đi mình thấy ẩm thực thuần Anh thì thật sự chán (khẩu vị cá nhân) nhưng ẩm thực quốc tế tại London rất ngon. 
Mình ở khu Convent Garden nên siêu tiện, khu Chinatown trong bán kính đi bộ. 
1. Lẩu Happy Lamb, ôi giời ơi nó siêu đông. Nếu không đặt bàn xác định chờ 45-60p mới có bàn. Đồ ăn rất ngon, bò, cừu ở đây tươi ngọt mềm, sườn cừu nướng mềm mọng, thấm gia vị. Rất đáng thử đặc biệt mùa đông ăn xong ấm bụng ấm lòng.
2. Nhà hàng Hoa Four Seasons tại Chinatown, món ai cũng phải gọi là vịt quay, có 2 lựa chọn là quay thường và quay da giòn, da mọng mỡ, béo, thịt thấm đẫm gia vị và ngọt, mềm. Ngon hơn nhiều nhà hàng Hoa tại Sg, khử mùi hoi vịt cực tốt. Lẩu gà, dạ dầy hầm tiêu ngọt thanh va cay thơm. Sò điệp siêu to siêu khổng lồ 
3. Nhà hàng Ý Ave Mario tại khu Convent Garden với món pasta nấm truffle ngon nhất từng ăn trong đời, rất nổi tiếng. Tráng miệng là chocolate mousse ngon kinh ngạc. Và rất đông
4. Nhà hàng Ấn Dishroom nhiều chi nhánh, nhìn hàng dài đứng xếp hàng là thấy uy tín, nấu ngon, đặc biệt món đậu lăng hầm 24 tiếng đặc biệt của nhà hàng mềm tan béo ngậy, ăn với bánh naan ngon ngất
5. Hệ thống Dintaifung tại London chuẩn chất lượng, lựa chọn an toàn nếu muốn ăn có rau và nóng
Về bánh và kem: ôi trời ngon dã man luôn, chắc do chất lượng sữa bò bên này nên các sản phẩm bơ, kem rất ngon, thơm, kem dẻo mượt. Hệ thống Venchi là bán chocolate và kem, chuỗi này của Ý từ năm 1878. Các sản phẩm sang chảnh, check in cũng ưng. Hệ thống bánh Chesnut bánh rất ngon, nhiều vị lạ, mật ong họ sử dụng chất lượng cao nên đặc quánh
Trà chiều nên thử tại Savoy hoặc Fortnum & Mason khu Mayfair sang chảnh. Đẹp, sang trọng, bánh scone và clotted cream tự làm rất ngon
#Londonfood
#diningreview","99",,,,"92","7",,,"11"
"18","A Bản - Backstage - Thiên Linh Wine.
Một bữa tiệc 4 hands dinner phải nói là siêu vui và cười ngoác cả mồm đến từ nhà A Bản và Backstage (Capella) cùng nhà rượu Thiên Linh. Đồ ăn ngon, rượu pairing cực hợp, âm nhạc dân tộc nhưng cực kì bốc lửa dưới sự chỉ huy của NSUT Phan Kim Thành cùng màn nhảy múa phụ hoạ đến từ đội ngũ khách hàng. 😆 Một bữa tiệc toàn những người xa lạ nhưng vui ngoác cả miệng. Mình hy vọng sau này các nhà hàng sẽ có thể tổ chức được những sự kiện vui vẻ và đáng nhớ như thế này. Mình sẽ để clip dưới comment để mọi người cùng thưởng thức nhé. 😅

Quay trở về với đồ ăn, bữa này thì đồ của A Bản là chủ đạo. Có vẻ như A Bản đang muốn lấn sân sang phân khúc fine dining và bữa tiệc này như một khúc mở màn và mình nghĩ là chef Việt đã thành công. 

Lần đầu tiên mình thấy có sự xuất hiện của Hảo Su Củ trong 1 món fine dining, kết hợp cùng lươn xông khói là một sự lựa chọn thú vị và phù hợp. Vị ngọt của su hào kết hợp cùng vị khói nhẹ và beo béo của lươn cùng nước dùng gà và sốt rau củ thanh mát tạo nên sự tròn đầy của món ăn. Món này mình rất ấn tượng, rất thích. 

Tiếp đến là món soup khoai sọ: béo bùi ngọt thanh. Các nhà hàng nên nghiên cứu đưa món này vào menu đi ạ. 

Cá chiên sông Đà ướp tương đậu nành lên men rưới sốt nghệ nhưng vị béo thơm như ốc len xào dừa 😅, cá mềm dai, ko tanh chút nào. 

2 món của Chef Quyết đến từ nhà hàng Backstage là vịt trời treo gió và thăn bê sữa mộc châu được pairing cùng 2 chai vang đỏ mà nhà rượu Thiên Linh chọn rất hợp khi mà mỗi 1 ngụm rượu đi kèm 1 miếng thịt lại nâng tầm món ăn hẳn lên, hoà quện và trơn tuột! 

Không gian và phục vụ của Capella thì khỏi phải nói, ko chê vào đâu được!

Bữa tiệc cũng thật trọn vẹn khi ko tốn đồng nào vì mình được mời ạ! Trân trọng cám ơn nhà tài trợ! 🥰

#diningreview

#A_Bản 

#backstagecapella

#ThienLinhWine

#nhungpoza","87",,"1",,"79","7",,,"0"
"0","Mizumi West Lake set menu Tết Oshogatsu 
----
😀 Chào mn, lại là em đây nhg lần này đc đi cùng bạn. Set không quá wow nhưng cũng tạm chỉn chu. Cốc nước quá xinh và tám chuyện khá vui. Các bạn nhân viên tận tình nên cũng ổn áp. Đớp tận 2 cốc nước 🥳
Có lẽ lần sau em nên thử set Oshogatsu Osechi. 
#diningreview #hanoi","30",,,,"26","4",,,"2"
